item_id,item_name,category,quantity,price,supplier,date_added,total_value,has_valid_date,has_valid_price
1,Understand,Clothing,12,0.0,Supplierb,,0.0,False,False
2,Water,Clothing,21,20.5,Supplierc,2025-08-10,430.5,True,True
3,Usually,Clothing,0,0.0,Supplierb,2025-05-18,0.0,True,False
4,Skin,Electronics,0,0.0,Supplierc,,0.0,False,False
5,Seat,Toys,0,0.0,Supplierb,,0.0,False,False
6,Not,Toys,27,60.42,Unknown,2022-02-18,1631.34,True,True
7,Price,Furniture,0,0.0,Supplierb,,0.0,False,False
8,Economic,Electronics,0,393.26,Supplierc,,0.0,False,True
9,Ask,Furniture,0,20.5,Supplierd,,0.0,False,True
10,Perform,Clothing,0,0.0,Suppliera,2024-07-15,0.0,True,False
11,Operation,Electronics,0,20.5,Unknown,,0.0,False,True
12,Choice,Electronics,0,134.93,Unknown,2022-10-21,0.0,True,True
13,Age,Groceries,81,20.5,Suppliera,2021-06-27,1660.5,True,True
14,Stage,Electronics,42,20.5,Supplierc,,861.0,False,True
15,Choice,Electronics,0,0.0,Supplierb,,0.0,False,False
16,Specific,Furniture,0,20.5,Supplierb,2021-04-08,0.0,True,True
17,Collection,Toys,4,20.5,Unknown,2021-06-08,82.0,True,True
18,Population,Groceries,0,0.0,Suppliera,2025-09-14,0.0,True,False
19,Person,Furniture,0,0.0,Supplierb,,0.0,False,False
20,If,Toys,66,420.46,Unknown,,27750.36,False,True
21,Suffer,Clothing,0,0.0,Suppliera,,0.0,False,False
22,Increase,Furniture,23,0.0,Supplierb,,0.0,False,False
23,Exactly,Electronics,75,0.0,Supplierd,,0.0,False,False
24,Music,Groceries,0,0.0,Supplierd,,0.0,False,False
25,High,Clothing,0,20.5,Unknown,2023-02-18,0.0,True,True
26,No,Groceries,91,20.5,Supplierb,2024-03-30,1865.5,True,True
27,Should,Electronics,78,0.0,Supplierb,,0.0,False,False
28,Growth,Toys,0,0.0,Supplierd,,0.0,False,False
29,Century,Furniture,63,397.63,Supplierb,2023-09-12,25050.69,True,True
30,Inside,Electronics,92,0.0,Unknown,,0.0,False,False
31,Movement,Clothing,0,0.0,Supplierb,,0.0,False,False
32,Either,Toys,0,201.25,Suppliera,2020-02-17,0.0,True,True
33,Watch,Groceries,26,0.0,Supplierd,,0.0,False,False
34,Lead,Clothing,76,0.0,Supplierd,2025-05-16,0.0,True,False
35,Plant,Electronics,0,251.03,Supplierb,2024-02-14,0.0,True,True
36,Society,Furniture,0,0.0,Supplierc,2023-01-18,0.0,True,False
37,Expect,Groceries,0,0.0,Supplierd,2022-07-22,0.0,True,False
38,Act,Clothing,0,0.0,Supplierc,,0.0,False,False
39,Commercial,Electronics,0,0.0,Suppliera,,0.0,False,False
40,Section,Furniture,83,20.5,Supplierb,2020-08-25,1701.5,True,True
41,Eight,Clothing,0,20.5,Suppliera,,0.0,False,True
42,Weight,Groceries,0,20.5,Supplierb,,0.0,False,True
43,Tend,Groceries,0,0.0,Supplierd,,0.0,False,False
44,Strategy,Clothing,13,20.5,Supplierc,2024-05-01,266.5,True,True
45,Turn,Groceries,0,0.0,Supplierc,,0.0,False,False
46,Program,Clothing,0,0.0,Supplierc,,0.0,False,False
47,Debate,Electronics,0,385.68,Unknown,2023-07-29,0.0,True,True
48,Region,Furniture,0,0.0,Supplierb,,0.0,False,False
49,Customer,Toys,0,0.0,Supplierc,,0.0,False,False
50,Young,Groceries,0,0.0,Suppliera,2021-12-10,0.0,True,False
51,Model,Toys,0,0.0,Unknown,,0.0,False,False
52,Form,Electronics,0,0.0,Supplierb,,0.0,False,False
53,Month,Toys,0,0.0,Supplierd,,0.0,False,False
54,Add,Furniture,69,0.0,Suppliera,2023-03-10,0.0,True,False
55,Together,Electronics,0,0.0,Supplierb,,0.0,False,False
